,transaction_id,timestamp,merchant_category,merchant_type,amount,currency,country,city,city_size,card_type,card_present,device,channel,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,num_transac_last_hour,total_amount_last_hour,unique_merchants_last_hour,unique_countries_last_hour,max_single_amount_last_hour,is_fraud
0,TX_a7f9ded2,2024-10-17 15:05:39.603135+00:00,Gas,major,441.96,USD,USA,New York,large,Basic Debit,False,Firefox,web,1,False,15,False,482.0,14022698.016286733,102.0,12.0,836684.8288366679,False
1,TX_7eef9759,2024-10-12 03:06:53.888974+00:00,Entertainment,gaming,19.11,BRL,Brazil,Unknown City,medium,Platinum Credit,True,Magnetic Stripe,pos,1,True,3,True,424.0,15549762.425005542,98.0,12.0,1563318.4264067004,True
2,TX_54b9e43b,2024-10-24 16:47:28.341902+00:00,Gas,major,417.04,USD,USA,Philadelphia,medium,Basic Debit,False,Chrome,web,0,False,16,False,193.0,3494385.721859076,86.0,12.0,668744.2720268156,False
3,TX_50a0d972,2024-10-04 09:53:28.036775+00:00,Retail,online,669.02,SGD,Singapore,Unknown City,medium,Basic Debit,False,Firefox,web,0,False,9,False,1228.0,35597866.90166377,105.0,12.0,2046594.327947434,False
4,TX_f59953ce,2024-10-11 22:14:35.991700+00:00,Gas,local,730115.44,NGN,Nigeria,Unknown City,medium,Basic Credit,False,Android App,mobile,1,False,22,False,88.0,4119282.6483451687,58.0,9.0,1972914.7015087171,True
5,TX_cbbb22c1,2024-10-25 18:34:06.918980+00:00,Gas,local,99.6,SGD,Singapore,Unknown City,medium,Basic Debit,False,Firefox,web,0,False,18,False,69.0,3093313.588003003,48.0,9.0,859270.9484012607,False
6,TX_cd3e0b33,2024-10-27 19:40:22.954277+00:00,Grocery,online,320.05,EUR,Germany,Unknown City,medium,Premium Debit,False,Safari,web,1,False,19,True,159.0,8733071.456819568,77.0,11.0,2360588.5203718166,False
7,TX_401f2fce,2024-10-16 20:08:37.062858+00:00,Travel,transport,741.19,BRL,Brazil,Unknown City,medium,Basic Credit,False,iOS App,mobile,0,True,20,False,928.0,24346309.485606708,105.0,12.0,1625226.6039871266,False
8,TX_53a951c5,2024-10-11 13:11:12.475549+00:00,Healthcare,medical,128708.61,NGN,Nigeria,Unknown City,medium,Basic Credit,False,Safari,web,0,False,13,False,595.0,62197543.97208333,105.0,12.0,1018570.2553492242,False
9,TX_c9899003,2024-10-26 07:12:45.840190+00:00,Gas,major,51236.56,JPY,Japan,Unknown City,medium,Basic Credit,False,Edge,web,0,False,7,True,127.0,6952243.338196572,71.0,11.0,977720.7908752123,False
10,TX_108c1a36,2024-10-20 01:05:36.305936+00:00,Retail,online,4777.79,SGD,Singapore,Unknown City,medium,Platinum Credit,False,Firefox,web,0,False,1,True,505.0,17681133.46168655,99.0,12.0,3754326.6880909996,True
11,TX_9ed686c2,2024-10-19 02:03:24.361264+00:00,Grocery,physical,18809.52,RUB,Russia,Unknown City,medium,Basic Credit,False,Firefox,web,0,False,2,True,190.0,8938103.77115877,88.0,12.0,1601243.184248605,False
12,TX_7757ec29,2024-10-30 13:53:39.188364+00:00,Entertainment,gaming,297.78,EUR,Germany,Unknown City,medium,Platinum Credit,False,Chrome,web,1,True,13,False,16.0,1153312.2885882282,14.0,6.0,311787.75724260445,False
13,TX_bfb506b0,2024-10-02 12:44:02.596255+00:00,Healthcare,medical,237.02,GBP,UK,Unknown City,medium,Gold Credit,False,iOS App,mobile,0,False,12,False,262.0,3497253.411293559,91.0,12.0,707209.5980390916,False
14,TX_68a415bd,2024-10-16 23:47:03.698702+00:00,Gas,local,93.32,MXN,Mexico,Unknown City,medium,Premium Debit,False,Edge,web,1,False,23,False,571.0,16279893.236238254,104.0,12.0,3999870.942834981,True
15,TX_71cbd987,2024-10-24 19:27:34.773305+00:00,Restaurant,fast_food,972.63,MXN,Mexico,Unknown City,medium,Basic Credit,False,Firefox,web,0,False,19,False,194.0,4651870.775817351,84.0,12.0,735823.8853028831,False
16,TX_82afbc3e,2024-10-20 12:56:04.798434+00:00,Restaurant,fast_food,1256.88,MXN,Mexico,Unknown City,medium,Basic Credit,False,Firefox,web,0,False,12,True,324.0,10101205.793499729,98.0,12.0,1643383.3805501438,False
17,TX_b1bb9848,2024-10-17 04:25:44.218437+00:00,Gas,local,24763.25,MXN,Mexico,Unknown City,medium,Gold Credit,False,Chrome,web,1,False,4,False,359.0,66621521.79962505,96.0,12.0,5108403.783001399,True
18,TX_31d75618,2024-10-21 12:32:30.819687+00:00,Retail,physical,276.54,EUR,Germany,Unknown City,medium,Basic Debit,False,iOS App,mobile,1,False,12,False,93.0,1219115.1041132365,55.0,9.0,383950.27555257286,False
19,TX_e9a38e53,2024-10-18 17:11:41.718041+00:00,Travel,hotels,708.73,USD,USA,Philadelphia,medium,Basic Debit,False,Edge,web,1,True,17,False,318.0,11437984.796375237,96.0,12.0,1052189.3209642633,False
20,TX_853a1dcb,2024-10-03 12:47:59.905469+00:00,Entertainment,streaming,6686.43,RUB,Russia,Unknown City,medium,Basic Debit,False,iOS App,mobile,0,True,12,False,133.0,5222830.312489046,73.0,9.0,1262876.133883229,False
21,TX_918ecf0f,2024-10-15 11:19:21.787574+00:00,Retail,online,1885.17,EUR,France,Unknown City,medium,Premium Debit,False,Edge,web,1,False,11,False,558.0,14535008.111790935,105.0,12.0,996077.8649391206,True
22,TX_47e177bd,2024-10-19 03:48:40.207449+00:00,Education,online,9726.18,BRL,Brazil,Unknown City,medium,Basic Credit,False,Android App,mobile,1,False,3,True,225.0,7220184.215061981,88.0,11.0,2637453.558506647,True
23,TX_dafe5ec0,2024-10-22 09:42:08.663570+00:00,Gas,major,727.97,EUR,France,Unknown City,medium,Platinum Credit,False,iOS App,mobile,0,False,9,False,438.0,23625667.59222916,100.0,12.0,5837836.529964938,False
24,TX_1bdf3af3,2024-10-02 22:06:28.703257+00:00,Education,supplies,7190.4,BRL,Brazil,Unknown City,medium,Premium Debit,True,Magnetic Stripe,pos,1,False,22,False,975.0,155114932.32066202,105.0,12.0,5435514.273256724,True
25,TX_ee51308e,2024-10-10 02:58:52.941754+00:00,Restaurant,premium,3063.43,SGD,Singapore,Unknown City,medium,Basic Credit,True,Chip Reader,pos,1,False,2,False,149.0,21610939.70560631,79.0,10.0,863846.7679924308,True
26,TX_e025eabf,2024-10-08 14:00:28.875495+00:00,Travel,transport,302.11,GBP,UK,Unknown City,medium,Platinum Credit,False,Chrome,web,0,True,14,False,1108.0,39769933.9700411,105.0,12.0,2419627.1493618535,False
27,TX_a7f4ec49,2024-10-20 15:48:35.415699+00:00,Grocery,online,65498.51,RUB,Russia,Unknown City,medium,Premium Debit,False,Chrome,web,1,False,15,True,242.0,8910317.603456104,89.0,12.0,3336987.746161128,True
28,TX_56e1cf45,2024-10-01 07:39:02.728447+00:00,Restaurant,premium,18460.26,MXN,Mexico,Unknown City,medium,Basic Credit,False,Chrome,web,1,False,7,False,387.0,5141150.5388613315,98.0,12.0,1091973.9628507844,True
29,TX_10e58b4f,2024-10-14 03:19:04.234949+00:00,Healthcare,pharmacy,111905.62,RUB,Russia,Unknown City,medium,Basic Debit,False,Chrome,web,1,False,3,False,323.0,21245232.061124727,96.0,12.0,2511443.5476728086,True
30,TX_8d3bde83,2024-10-11 04:07:05.261813+00:00,Restaurant,fast_food,69.66,GBP,UK,Unknown City,medium,Premium Debit,False,Chrome,web,1,False,4,False,1008.0,32656383.149953987,105.0,12.0,3307809.205029773,True
31,TX_b01c7c42,2024-10-24 04:12:43.941330+00:00,Education,online,41.74,MXN,Mexico,Unknown City,medium,Basic Credit,False,Android App,mobile,1,False,4,False,390.0,24446737.68646764,101.0,11.0,4140163.557098048,True
32,TX_2f1b6a6a,2024-09-30 14:38:47.912049+00:00,Grocery,online,3323.05,BRL,Brazil,Unknown City,medium,Basic Credit,False,Android App,mobile,1,False,14,False,1556.0,35554825.079708114,105.0,12.0,1747501.302697072,True
33,TX_8aee03eb,2024-10-07 06:51:18.884508+00:00,Gas,local,364.15,EUR,Germany,Unknown City,medium,Premium Debit,False,iOS App,mobile,1,False,6,False,4.0,121569.83206573997,4.0,2.0,52748.693045183005,False
34,TX_233e80dc,2024-10-03 21:55:22.546841+00:00,Gas,major,186.41,GBP,UK,Unknown City,medium,Basic Debit,False,Android App,mobile,0,False,21,False,1641.0,43486929.62293585,105.0,12.0,1819976.8377746472,False
35,TX_20865b6d,2024-10-12 00:05:03.124915+00:00,Gas,local,740.45,CAD,Canada,Unknown City,medium,Platinum Credit,False,iOS App,mobile,0,False,0,True,918.0,54187938.53073765,105.0,12.0,5478210.300285924,False
36,TX_3057ec0c,2024-10-18 11:22:03.518162+00:00,Grocery,physical,19071.29,MXN,Mexico,Unknown City,medium,Premium Debit,False,iOS App,mobile,1,False,11,False,282.0,14969312.720462829,97.0,12.0,5298786.7358787265,True
37,TX_ce6b8301,2024-10-27 10:58:34.948448+00:00,Retail,physical,388.4,EUR,France,Unknown City,medium,Basic Credit,False,iOS App,mobile,0,False,10,True,146.0,6961725.05651935,76.0,12.0,3135505.426383329,False
38,TX_20898ace,2024-10-06 05:17:17.864548+00:00,Restaurant,fast_food,6.11,MXN,Mexico,Unknown City,medium,Platinum Credit,True,Magnetic Stripe,pos,1,False,5,True,54.0,990522.1354080822,46.0,8.0,408971.88586747326,True
39,TX_e57f8a3d,2024-10-03 20:04:32.545031+00:00,Gas,local,9429.87,MXN,Mexico,Unknown City,medium,Gold Credit,False,Android App,mobile,1,False,20,False,1048.0,32563427.164317086,105.0,12.0,5091255.7168108225,False
40,TX_45e45813,2024-10-01 06:59:08.538970+00:00,Healthcare,medical,14047.88,JPY,Japan,Unknown City,medium,Basic Credit,False,Firefox,web,0,False,6,False,885.0,32595760.53352799,105.0,12.0,1031944.1812404478,False
41,TX_5ddccaea,2024-10-18 16:24:31.197272+00:00,Retail,physical,208.89,GBP,UK,Unknown City,medium,Basic Debit,False,Android App,mobile,1,False,16,False,675.0,11479584.384400595,103.0,12.0,920168.481735544,False
42,TX_ed295d44,2024-10-08 01:31:06.335953+00:00,Restaurant,casual,1153.27,BRL,Brazil,Unknown City,medium,Gold Credit,False,Firefox,web,1,False,1,False,864.0,36556607.296898216,105.0,12.0,5530201.004771952,False
43,TX_69084184,2024-10-17 15:50:17.608952+00:00,Grocery,physical,18.4,BRL,Brazil,Unknown City,medium,Platinum Credit,True,Chip Reader,pos,1,False,15,False,139.0,6202566.11554619,67.0,12.0,2785387.3963142857,True
